"","F_X_to_Y","F_Y_to_X","SMBB_X_to_Y","SMBB_Y_to_X","AR sieve_X_to_Y","AR sieve_Y_to_X","R.Wald_X_to_Y","R.Wald_Y_to_X","TY_X_to_Y","TY_Y_to_X"
"10002",0,4.10713393059292e-05,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0198019801980198,1.63853555447899e-155,8.61294352277299e-05,0,4.9152822917795e-05
"10003",0,2.63852371306948e-07,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.64554402892979e-102,1.40014133153957e-05,0,2.89112635615221e-07
"1001",0,3.27303790002004e-11,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,7.20115825808663e-93,3.23074138034455e-10,0,3.27303790002084e-11
"101002",0,0.00106524598845487,0.0099009900990099,0.0297029702970297,0.0099009900990099,0.0099009900990099,3.94964301006352e-64,0.169040240471381,0,0.0022667140102318
"101005",9.32478931085495e-259,4.10142110243402e-05,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,8.58265221929575e-49,0.0489788471785302,1.62707143288277e-258,9.97268296936886e-05
"102001",0,0.0229267128045988,0.0099009900990099,0.198019801980198,0.0099009900990099,0.0495049504950495,8.88630565340799e-79,0.0912091053935258,0,0.0229267128046026
"106001",0,2.09667739194486e-06,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.18351748347455e-124,9.60090267772933e-05,0,2.09667739194485e-06
"107001",0,0.000269423678743706,0.0099009900990099,0.0396039603960396,0.0099009900990099,0.0099009900990099,7.41217063864424e-194,0.00221324035849448,0,0.000352291091283092
"11001",0,0.00428502349941063,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.28939571037649e-170,0.0743022354924855,0,0.00398190952672613
"11003",0,4.36972670519963e-11,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.82127390984306e-77,0.000162601697746358,0,4.36972670519753e-11
"11004",0,0.00877979504624495,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0495049504950495,1.42135725872905e-37,0.317428397907807,0,7.80397168775824e-05
"12001",0,2.80134379248728e-09,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,6.66273127035918e-139,4.14471496992349e-05,0,4.57120073196952e-09
"12002",0,9.60025450116149e-11,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,7.54669808992367e-159,2.25865191294687e-05,0,9.6002545011611e-11
"12005",5.42260834720442e-207,4.19237362832527e-15,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,4.39409669007901e-21,1.85930376764759e-06,1.30705640425931e-206,2.6966409064467e-14
"12006",6.74157292923563e-246,9.58504579201968e-11,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.85491279454045e-41,3.08915584591285e-06,6.74157292919174e-246,9.58504579202613e-11
